league,season,award,player_name,source
nba,2019,DPOY,Rudy Gobert,https://www.nba.com/news/history-defensive-player-of-the-year-winners
nba,2020,DPOY,Giannis Antetokounmpo,https://www.nba.com/news/history-defensive-player-of-the-year-winners
nba,2021,DPOY,Rudy Gobert,https://www.nba.com/news/history-defensive-player-of-the-year-winners
nba,2022,DPOY,Marcus Smart,https://www.nba.com/news/history-defensive-player-of-the-year-winners
nba,2023,DPOY,Jaren Jackson Jr.,https://www.nba.com/news/history-defensive-player-of-the-year-winners
nba,2024,DPOY,Rudy Gobert,https://www.nba.com/news/history-defensive-player-of-the-year-winners
nba,2025,DPOY,Evan Mobley,https://www.nba.com/news/history-defensive-player-of-the-year-winners
nba,2026,DPOY,Victor Wembanyama,https://www.nba.com/news/history-defensive-player-of-the-year-winners
nba,2019,MIP,Pascal Siakam,https://www.nba.com/news/history-most-improved-award-winners
nba,2020,MIP,Brandon Ingram,https://www.nba.com/news/history-most-improved-award-winners
nba,2021,MIP,Julius Randle,https://www.nba.com/news/history-most-improved-award-winners
nba,2022,MIP,Ja Morant,https://www.nba.com/news/history-most-improved-award-winners
nba,2023,MIP,Lauri Markkanen,https://www.nba.com/news/history-most-improved-award-winners
nba,2024,MIP,Tyrese Maxey,https://www.nba.com/news/history-most-improved-award-winners
nba,2025,MIP,Dyson Daniels,https://www.nba.com/news/history-most-improved-award-winners
nba,2026,MIP,Nickeil Alexander-Walker,https://www.nba.com/news/history-most-improved-award-winners
nba,2019,MVP,Giannis Antetokounmpo,https://www.nba.com/news/history-mvp-award-winners
nba,2020,MVP,Giannis Antetokounmpo,https://www.nba.com/news/history-mvp-award-winners
nba,2021,MVP,Nikola Jokić,https://www.nba.com/news/history-mvp-award-winners
nba,2022,MVP,Nikola Jokić,https://www.nba.com/news/history-mvp-award-winners
nba,2023,MVP,Joel Embiid,https://www.nba.com/news/history-mvp-award-winners
nba,2024,MVP,Nikola Jokić,https://www.nba.com/news/history-mvp-award-winners
nba,2025,MVP,Shai Gilgeous-Alexander,https://www.nba.com/news/history-mvp-award-winners
nba,2026,MVP,Shai Gilgeous-Alexander,https://www.nba.com/news/history-mvp-award-winners
nba,2019,ROY,Luka Doncic,https://www.nba.com/news/history-rookie-of-the-year-winners
nba,2020,ROY,Ja Morant,https://www.nba.com/news/history-rookie-of-the-year-winners
nba,2021,ROY,LaMelo Ball,https://www.nba.com/news/history-rookie-of-the-year-winners
nba,2022,ROY,Scottie Barnes,https://www.nba.com/news/history-rookie-of-the-year-winners
nba,2023,ROY,Paolo Banchero,https://www.nba.com/news/history-rookie-of-the-year-winners
nba,2024,ROY,Victor Wembanyama,https://www.nba.com/news/history-rookie-of-the-year-winners
nba,2025,ROY,Stephon Castle,https://www.nba.com/news/history-rookie-of-the-year-winners
nba,2026,ROY,Cooper Flagg,https://www.nba.com/news/history-rookie-of-the-year-winners
